freq,unit,na_item,sector,geo\TIME_PERIOD	1949 	1950 	1951 	1952 	1953 	1954 	1955 	1956 	1957 	1958 	1959 	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC,B2G_B3G_RAT_S11,S11,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	44.49 p	44.86 p	37.45 p	32.97 p	35.31 p	: 	: 	: 	: 	: 	: 
A,PC,B2G_B3G_RAT_S11,S11,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36.92 	38.19 	39.97 	40.52 	40.75 	41.37 	42.28 	42.54 	42.99 	44.68 	45.87 	46.34 	46.67 	44.55 	42.97 	43.25 	43.31 	42.30 	40.76 	40.96 	41.34 	41.75 	41.45 	41.53 	40.55 	43.91 	44.11 	41.68 	38.54 
A,PC,B2G_B3G_RAT_S11,S11,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36.53 	36.25 	36.52 	36.97 	35.67 	36.62 	35.43 	35.46 	37.08 	39.11 	40.40 	40.56 	41.58 	40.02 	37.79 b	39.71 	40.11 	38.47 	38.53 	39.16 	40.34 	40.85 	40.70 	41.00 	41.74 	43.19 	43.77 	45.20 	42.43 p
A,PC,B2G_B3G_RAT_S11,S11,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	59.69 	57.94 	47.86 	50.76 	41.84 	46.51 	49.66 	53.69 	52.77 	53.94 	51.99 	52.83 	52.66 	48.96 	52.58 	49.13 	51.23 	51.03 	48.58 	47.09 	49.31 	48.04 	48.19 	: 	: 	: 	: 	: 	: 
A,PC,B2G_B3G_RAT_S11,S11,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	35.81 	35.93 	32.90 	33.48 	32.87 	33.17 	32.82 	31.30 	30.99 	32.85 	33.72 	35.30 	34.77 	34.55 	32.24 	34.97 	33.97 	33.77 	33.33 	33.78 	32.69 	33.17 	33.29 	34.67 	32.94 	31.96 	36.00 	35.91 p	34.32 p
A,PC,B2G_B3G_RAT_S11,S11,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55.49 	54.99 	54.58 	55.67 	56.22 	57.51 	58.25 	56.23 	53.56 	52.02 	47.69 	46.09 	42.50 	41.61 	38.32 	39.85 	39.60 	37.85 	40.70 	37.77 	38.33 	40.57 	40.34 	41.54 	39.18 	39.64 	42.59 	37.80 	34.92 p
A,PC,B2G_B3G_RAT_S11,S11,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	49.87 	48.46 	46.98 	49.11 	49.98 	50.54 	51.77 	50.41 	49.65 	49.37 	49.72 	50.60 	50.64 	48.72 	48.54 	47.42 	46.88 	46.49 	46.71 	48.85 	49.40 	48.47 	46.95 	44.45 	44.77 	44.29 	44.97 	45.42 	46.99 
A,PC,B2G_B3G_RAT_S11,S11,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37.14 	37.61 	38.77 	40.03 	38.80 	38.36 	40.35 	40.71 	40.38 	41.62 	42.79 	44.65 	45.77 	44.04 	41.13 	42.37 	42.20 	40.42 	40.04 	40.39 	40.14 	40.32 	40.04 	38.74 	37.21 	37.62 p	40.19 p	39.34 p	39.13 p
A,PC,B2G_B3G_RAT_S11,S11,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	41.45 	41.62 	42.10 	39.60 	41.06 	43.99 	41.86 	41.42 	41.32 	42.58 	42.27 	42.76 	39.98 	39.60 	37.56 	41.36 	41.30 	41.72 	41.92 	42.33 	42.12 	41.82 	42.50 	41.70 	41.34 	43.61 	46.50 	48.68 	43.73 
A,PC,B2G_B3G_RAT_S11,S11,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	38.90 	38.79 	39.93 	39.86 	39.72 	40.20 	40.45 	41.05 	41.82 	40.72 	39.07 	39.72 	39.62 	38.55 	38.96 	39.24 	40.34 	40.49 	40.70 	39.91 	39.36 	39.59 	41.58 	41.19 	40.71 
A,PC,B2G_B3G_RAT_S11,S11,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	32.69 	35.59 	38.63 	42.07 	44.89 	44.83 	46.08 	47.88 	48.86 	49.57 	49.96 	48.98 	47.20 	42.04 	40.16 	46.02 	49.53 	49.28 	48.93 	47.66 	45.12 	44.80 	45.82 	45.14 	44.21 	44.39 	45.91 	46.21 	42.23 
A,PC,B2G_B3G_RAT_S11,S11,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	54.60 	53.81 	54.09 	53.47 	52.14 	53.96 	55.00 	50.85 	50.96 	53.19 	51.50 	52.82 	53.87 	53.91 	53.65 	50.70 	49.85 	51.42 	52.27 	48.09 	46.36 	40.42 	39.63 	42.74 	37.91 	39.20 	40.07 	45.22 p	41.85 p
A,PC,B2G_B3G_RAT_S11,S11,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39.46 	39.68 	37.36 	36.54 	37.22 	36.81 	36.86 	36.67 	37.09 	36.75 	37.17 	36.79 	38.35 	39.87 	41.20 	40.79 	41.15 	42.25 	43.51 	42.89 	43.04 	43.83 	43.64 	42.84 	41.53 	37.61 	37.81 	40.27 	39.69 
A,PC,B2G_B3G_RAT_S11,S11,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39.14 	39.21 	39.88 	39.81 	39.82 	40.41 	40.76 	41.51 	42.20 	41.27 	39.90 	40.66 	40.62 	39.57 	39.67 	39.77 	40.85 	40.75 	40.93 	40.27 	39.82 	40.22 	42.13 	41.89 	41.28 
A,PC,B2G_B3G_RAT_S11,S11,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	45.31 	44.64 	46.05 	46.83 	46.08 	46.97 	47.59 	47.31 	47.05 	47.80 	46.57 	46.32 	47.93 	46.51 	41.75 	42.60 	41.70 	39.51 	39.64 	39.55 	40.22 	40.22 	42.68 	41.76 	41.75 	43.29 	41.97 	41.51 	40.11 
